gate,layer,target,id,group,status,reason,notes
K12-K13,registered_target,race_frontier_r2,race_baseline_r2,Frontier,PASS,,The gp_krw_r2() port of KRW rsquared.do verifies 24.597221 percent against the registered 25 percent target; generic gp_r2() is not used for this row.
K12-K13,registered_target,race_between_sd,race_baseline_betweengrade_sd,Frontier,PASS,,The gp_krw_r2() port verifies the KRW between-grade SD 0.0339818 against the registered 0.034 target.
K12-K13,registered_target,gender_frontier_r2,gender_baseline_r2,Frontier,PASS,,The gp_krw_r2() port of KRW rsquared.do verifies 43.717786 percent against the registered 44 percent target; generic gp_r2() is not used for this row.
K14-K15,registered_target,f5_genuineparts_theta,f5_genuineparts_theta,Report card,PASS,,The source-table adapter verifies the KRW Table F5 Genuine Parts theta_hat race cell through m1-report-card-targets.csv.
K14-K15,registered_target,f5_genuineparts_postmean_baseline,f5_genuineparts_postmean_baseline,Report card,PASS,,The source-table adapter verifies the KRW Table F5 Genuine Parts baseline posterior mean race cell through m1-report-card-targets.csv.
K14-K15,registered_target,f5_autonation_theta,f5_autonation_theta,Report card,PASS,,The source-table adapter verifies the KRW Table F5 AutoNation theta_hat race cell through m1-report-card-targets.csv.
K14-K15,registered_target,f5_disney_theta,f5_disney_theta,Report card,PASS,,The source-table adapter verifies the KRW Table F5 Disney theta_hat race cell through m1-report-card-targets.csv.
K14-K15,registered_target,f5_walmart_theta,f5_walmart_theta,Report card,PASS,,The source-table adapter verifies the KRW Table F5 Walmart theta_hat race cell through m1-report-card-targets.csv.
K14-K15,registered_target,f5_charterspectrum_theta,f5_charterspectrum_theta,Report card,PASS,,The source-table adapter verifies the KRW Table F5 Charter/Spectrum theta_hat race cell through m1-report-card-targets.csv.
K14-K15,registered_target,f5_charterspectrum_condrank_baseline,f5_charterspectrum_condrank_baseline,Report card,PASS,,The source-table adapter verifies the KRW Table F5 Charter/Spectrum baseline Condorcet rank race cell through m1-report-card-targets.csv.
K14-K15,registered_target,f6_buildersfirstsource_theta,f6_buildersfirstsource_theta,Report card,PASS,,The source-table adapter verifies the KRW Table F6 Builders FirstSource theta_hat gender cell through m1-report-card-targets.csv.
K14-K15,registered_target,f6_buildersfirstsource_postmean_baseline,f6_buildersfirstsource_postmean_baseline,Report card,PASS,,The source-table adapter verifies the KRW Table F6 Builders FirstSource baseline posterior mean gender cell through m1-report-card-targets.csv.
K14-K15,registered_target,f6_lkq_theta,f6_lkq_theta,Report card,PASS,,The source-table adapter verifies the KRW Table F6 LKQ Auto theta_hat gender cell through m1-report-card-targets.csv.
K14-K15,registered_target,f6_nationwide_theta,f6_nationwide_theta,Report card,PASS,,The source-table adapter verifies the KRW Table F6 Nationwide theta_hat gender cell through m1-report-card-targets.csv.
K14-K15,registered_target,f6_ascena_theta,f6_ascena_theta,Report card,PASS,,The source-table adapter verifies the KRW Table F6 Ascena theta_hat gender cell through m1-report-card-targets.csv.
K14-K15,registered_target,f6_ascena_condrank_baseline,f6_ascena_condrank_baseline,Report card,PASS,,The source-table adapter verifies the KRW Table F6 Ascena baseline Condorcet rank gender cell through m1-report-card-targets.csv.
K14-K15,deferred_milestone,report_card_cells_f5_f6_industry,f5_f6_industry_report_card_cells,Report card,DEFERRED,M2_INDUSTRY_SCOPE,Three Table F5/F6 industry cells are registered under milestone M2 because they require the two-level/industry report-card pipeline.
N9,registered_target,strict_order,n9_strict4_ngrades,Solver fixtures,PASS,,Strict n=4 fixture exact count is covered by test-n9-strict-order.R and gp_check().
SOLVER,component_evidence,path_equivalence,step45_strict3,Solver fixtures,EVIDENCE_OK,,"test-solver-path-equivalence.R verifies installed solver paths on the strict n=3 fixture; this is component evidence, not a registered acceptance PASS."
SOLVER,component_evidence,diagonal_invariance,step45_diagonal,Solver fixtures,EVIDENCE_OK,,"test-solver-diagonal-invariance.R verifies diagonal projection and solve invariance; this is component evidence, not a registered acceptance PASS."
K12-K13,registered_target,race_frontier_tau,race_baseline_tau,Frontier,PASS,,"From the proven-optimal fit (acceptance_mode, mip_gap=0): tau-bar 0.207 (within tol of the 0.21 target), producer_status OK."
K12-K13,registered_target,gender_frontier_dr,gender_baseline_dr,Frontier,PASS,,"From the proven-optimal fit (acceptance_mode, mip_gap=0): gender DR 1.807% (within tol of the 1.80% target), producer_status OK."
K12-K13,registered_target,gender_frontier_tau,gender_baseline_tau,Frontier,PASS,,"From the proven-optimal fit (acceptance_mode, mip_gap=0): gender tau-bar 0.121 (within tol of the 0.12 target), producer_status OK."
K12-K13,registered_target,race_frontier_tau_l1,race_baseline_tau_l1,Frontier,PASS,,"From the proven-optimal fit (acceptance_mode, mip_gap=0): lambda=1 endpoint tau-bar 0.464 (within tol of the 0.46 target), producer_status OK."
K12-K13,registered_target,race_frontier_dr_l1,race_baseline_dr_l1,Frontier,PASS,,"From the proven-optimal fit (acceptance_mode, mip_gap=0): lambda=1 endpoint DR 0.268 in proportion units (within tol of the 0.27 target), producer_status OK."
