id,exhibit,quantity,paper_value,unit,tolerance,paper_locator,likely_artifact,source_status,confidence,notes
t2_n_jobs,Table 2,Number of jobs (estimation sample),10453,count,0,Table 2 'Number of jobs',tables/table2.csv,confirmed_main_text,high,
t2_n_apps,Table 2,Number of applications (estimation sample),78910,count,0,Table 2 'Number of apps',tables/table2.csv,confirmed_main_text,high,Differs from ~84k frame
t3_race_ni_beta,Table 3 col1,GMM beta race no-industry,0.510,other,0.001,Table 3 (1) beta,tables/table3.csv,confirmed_main_text,high,SE 0.190
t3_race_ni_beta_se,Table 3 col1,SE beta race no-industry,0.190,sd,0.001,Table 3 (1) beta,tables/table3.csv,confirmed_main_text,high,
t3_race_ni_mu,Table 3 col1,GMM mu race no-industry,0.308,other,0.001,Table 3 (1) mu,tables/table3.csv,confirmed_main_text,high,SE 0.147
t3_race_ni_sigmav,Table 3 col1,GMM sigma_v race no-industry,0.207,sd,0.001,Table 3 (1) sigma_v,tables/table3.csv,confirmed_main_text,high,SE 0.106
t3_race_ni_J,Table 3 col1,GMM J-stat race no-industry,0.101,other,0.001,Table 3 (1) J-stat,tables/table3.csv,confirmed_main_text,high,df=1; p=0.97
t3_race_wi_beta,Table 3 col2,GMM beta race with-industry,0.522,other,0.001,Table 3 (2) beta,tables/table3.csv,confirmed_main_text,high,SE 0.150
t3_race_wi_mu,Table 3 col2,GMM mu race with-industry,0.320,other,0.001,Table 3 (2) mu,tables/table3.csv,confirmed_main_text,high,SE 0.096
t3_race_wi_sigmaeta,Table 3 col2,GMM sigma_eta race with-industry,0.528,sd,0.001,Table 3 (2) sigma_eta,tables/table3.csv,confirmed_main_text,high,SE 0.120; between-industry
t3_race_wi_sigmaxi,Table 3 col2,GMM sigma_xi race with-industry,0.113,sd,0.001,Table 3 (2) sigma_xi,tables/table3.csv,confirmed_main_text,high,SE 0.054; within-industry
t3_race_wi_J,Table 3 col2,GMM J-stat race with-industry,0.087,other,0.001,Table 3 (2) J-stat,tables/table3.csv,confirmed_main_text,high,df=2; p=0.95
t3_gender_ni_beta,Table 3 col3,GMM beta gender no-industry,1.255,other,0.001,Table 3 (3) beta,tables/table3.csv,confirmed_main_text,high,SE 0.242
t3_gender_ni_mu,Table 3 col3,GMM mu gender no-industry,-0.009,other,0.001,Table 3 (3) mu,tables/table3.csv,confirmed_main_text,high,SE 0.015
t3_gender_ni_sigmav,Table 3 col3,GMM sigma_v gender no-industry,1.234,sd,0.001,Table 3 (3) sigma_v,tables/table3.csv,confirmed_main_text,high,SE 0.561
t3_gender_ni_J,Table 3 col3,GMM J-stat gender no-industry,0.011,other,0.001,Table 3 (3) J-stat,tables/table3.csv,confirmed_main_text,high,df=1
t3_gender_wi_beta,Table 3 col4,GMM beta gender with-industry,1.114,other,0.001,Table 3 (4) beta,tables/table3.csv,confirmed_main_text,high,SE 0.204
t3_gender_wi_mu,Table 3 col4,GMM mu gender with-industry,0.000,other,0.001,Table 3 (4) mu,tables/table3.csv,confirmed_main_text,high,SE 0.017
t3_gender_wi_sigmaeta,Table 3 col4,GMM sigma_eta gender with-industry,0.569,sd,0.001,Table 3 (4) sigma_eta,tables/table3.csv,confirmed_main_text,high,SE 0.191
t3_gender_wi_sigmaxi,Table 3 col4,GMM sigma_xi gender with-industry,0.645,sd,0.001,Table 3 (4) sigma_xi,tables/table3.csv,confirmed_main_text,high,SE 0.213
t3_gender_wi_J,Table 3 col4,GMM J-stat gender with-industry,1.280,other,0.001,Table 3 (4) J-stat,tables/table3.csv,confirmed_main_text,high,df=2
t3b_race_ni_mean,Table 3 Panel B,Implied mean theta race no-industry,0.092,log_diff,0.001,Table 3 Panel B (1),tables/table3.csv,confirmed_main_text,high,SE 0.011
t3b_race_ni_sd,Table 3 Panel B,Implied SD theta race no-industry,0.072,sd,0.001,Table 3 Panel B (1),tables/table3.csv,confirmed_main_text,high,SE 0.015
t3b_race_wi_mean,Table 3 Panel B,Implied mean theta race with-industry,0.093,log_diff,0.001,Table 3 Panel B (2),tables/table3.csv,confirmed_main_text,high,SE 0.013
t3b_race_wi_sd,Table 3 Panel B,Implied SD theta race with-industry,0.072,sd,0.001,Table 3 Panel B (2),tables/table3.csv,confirmed_main_text,high,SE 0.015
t3b_race_withinshare,Table 3 Panel B,Within-industry variance share (race),0.366,proportion,0.001,Table 3 Panel B (2) Within share,tables/table3.csv,confirmed_main_text,high,SE 0.234; one-third
t3b_gender_ni_mean,Table 3 Panel B,Implied mean theta gender no-industry,-0.009,log_diff,0.001,Table 3 Panel B (3),tables/table3.csv,confirmed_main_text,high,SE 0.015
t3b_gender_ni_sd,Table 3 Panel B,Implied SD theta gender no-industry,0.180,sd,0.001,Table 3 Panel B (3),tables/table3.csv,confirmed_main_text,high,SE 0.042
t3b_gender_wi_mean,Table 3 Panel B,Implied mean theta gender with-industry,0.000,log_diff,0.001,Table 3 Panel B (4),tables/table3.csv,confirmed_main_text,high,SE 0.017
t3b_gender_wi_sd,Table 3 Panel B,Implied SD theta gender with-industry,0.148,sd,0.001,Table 3 Panel B (4),tables/table3.csv,confirmed_main_text,high,SE 0.025; ~15pp
t3b_gender_withinshare,Table 3 Panel B,Within-industry variance share (gender),0.562,proportion,0.001,Table 3 Panel B (4) Within share,tables/table3.csv,confirmed_main_text,high,SE 0.200; ~half
race_firms_excluded,Section V.A,Firms excluded (cr<3% or jobs<40),11,count,0,"Sec V.A: ""exclude the eleven firms""",tables/reporting_statistics.txt,confirmed_main_text,high,108-11=97
race_mean_thetahat,Section V.A,Unweighted mean theta-hat (97 firms),0.095,log_diff,0.001,"Sec V.A: ""average value of theta-hat ... 0.095""",data/theta_estimates_race.csv,confirmed_main_text,high,~10% White favoritism
race_n_negative,Section V.A,Firms with negative theta-hat,21,count,0,"Sec V.A: ""Twenty-one of the 97""",data/theta_estimates_race.csv,confirmed_main_text,high,
race_avg_se,Section V.A,Average SE of theta-hat (race),0.104,sd,0.001,"Sec V.A: ""average standard error of 0.104""",data/theta_estimates_race.csv,confirmed_main_text,high,
race_jointnull_p,Section V.A,Bai-Santos-Shaikh joint-null p-value,0.94,pvalue,0.01,"Sec V.A: ""p-value of 0.94""",unknown,confirmed_main_text,high,Test all theta>=0
race_spearman,Section V.A,"Spearman corr(theta-hat, s)",0.36,correlation,0.01,"Sec V.A: ""0.36 (p<0.001)""",data/theta_estimates_race.csv,confirmed_main_text,high,Precision dependence
race_gmm_J_p_ni,Section V.B,Race GMM over-id p-value (no-industry),0.97,pvalue,0.01,"Sec V.B: ""(p=0.97)""",tables/table3.csv,confirmed_main_text,high,
race_gmm_J_p_wi,Section V.D,Race GMM over-id p-value (industry),0.95,pvalue,0.01,"Sec V.D: ""(p=0.95)""",tables/table3.csv,confirmed_main_text,high,
race_n_industries,Section V.D,Number of industry groupings (published),19,count,0,"Sec V.D: ""19 industry groupings""",dump/formatted_sic_names.csv,confirmed_main_text,high,>=3 firms each; arXiv had 24
race_legacy_industries,Section V.D,Legacy KRW2022 industry codes,24,count,0,"fn15: ""24 industry codes""",unknown,confirmed_main_text,high,3 single-firm
race_baseline_ngrades,Section V.E,Race baseline grades (lambda=0.25),3,count,0,"Sec V.E / Intro: ""three ... grades""",dump/ranking_results_log_dif_binary_race.csv,confirmed_main_text,high,
race_baseline_dr,Section V.E,Race baseline discordance rate,3.9,percent,0.1,"Sec V.E: ""roughly 3.9 percent""",tables/reporting_statistics.txt,confirmed_main_text,high,
race_baseline_tau,Section V.E,Race baseline tau-bar (lambda=0.25),0.21,correlation,0.01,"Sec V.E: ""tau is 0.21""",tables/reporting_statistics.txt,confirmed_main_text,high,
race_baseline_r2,Section VI.A,Race baseline grade R-squared,25,percent,1,"Intro/VI.A: ""roughly 25 percent""",computed:krw_r2(verify.R),confirmed_main_text,high,arXiv had 19%; recomputed at render time by krw_r2() — verified PASS
race_baseline_betweengrade_sd,Section VI.A,Race baseline between-grade SD,0.034,sd,0.001,"Sec VI.A: ""0.034 for the three grades""",computed:krw_r2(verify.R),confirmed_main_text,high,recomputed at render time by krw_r2() — verified PASS
race_baseline_tau_l1,Section V.E,Race baseline Condorcet tau (lambda=1),0.46,correlation,0.01,"Sec V.E: ""tau=0.46""",tables/reporting_statistics.txt,confirmed_main_text,high,
race_baseline_dr_l1,Section V.E,Race baseline Condorcet DR (lambda=1),0.27,proportion,0.01,"Sec V.E: ""0.27""",tables/reporting_statistics.txt,confirmed_main_text,high,
race_baseline_worst_n,Section VI,Firms in worst grade (baseline),2,count,0,"Sec VI: ""the two firms""",dump/ranking_results_log_dif_binary_race.csv,confirmed_main_text,high,"Genuine Parts, AutoNation"
race_baseline_best_n,Section VI,Firms in best grade (baseline),14,count,0,"Sec VI: ""Fourteen firms""",dump/ranking_results_log_dif_binary_race.csv,confirmed_main_text,high,
race_baseline_worst_pm,Section VI,Worst-grade avg posterior mean theta (baseline),0.24,log_diff,0.01,"Sec VI: ""24 percent penalty""",dump/posteriors_groupfx0_race.csv,confirmed_main_text,high,
race_baseline_best_pm,Section VI,Best-grade avg posterior mean theta (baseline),0.03,log_diff,0.01,"Sec VI: ""theta_i of 0.03""",dump/posteriors_groupfx0_race.csv,confirmed_main_text,high,
race_industry_ngrades,Section V.E,Race industry grades (lambda=0.25),4,count,0,"Sec V.E / Intro: ""four grades""",dump/ranking_results_industry_rfe_binary_race.csv,confirmed_main_text,high,
race_industry_dr,Section V.E,Race industry discordance rate,5.6,percent,0.1,"Sec V.E: ""5.6 percent""",tables/reporting_statistics.txt,confirmed_main_text,high,arXiv had 5.2%
race_industry_tau,Section V.E,Race industry tau-bar (lambda=0.25),0.46,correlation,0.01,"Sec V.E: ""0.46""",tables/reporting_statistics.txt,confirmed_main_text,high,
race_industry_r2,Section VI.A,Race industry grade R-squared,70,percent,1,"Sec VI.A: ""R^2 to 70 percent""",computed:krw_r2(verify.R),confirmed_main_text,high,arXiv had 47%; recomputed at render time by krw_r2() — verified PASS
race_industry_tau_l1,Section V.E,Race industry Condorcet tau (lambda=1),0.59,correlation,0.01,"Sec V.E / Concl: ""0.59""",tables/reporting_statistics.txt,confirmed_main_text,high,Headline
race_industry_dr_l1,Section V.E,Race industry Condorcet DR (lambda=1),0.20,proportion,0.01,"Sec V.E: ""0.20""",tables/reporting_statistics.txt,confirmed_main_text,high,
race_industry_worst_n,Section VI.A,Firms in worst grade (industry),9,count,0,"Sec VI.A: ""two to nine""",dump/ranking_results_industry_rfe_binary_race.csv,confirmed_main_text,high,
race_industry_2ndworst_n,Section VI.A,Firms in second-worst grade (industry),17,count,0,"Sec VI.A: ""seventeen firms""",dump/ranking_results_industry_rfe_binary_race.csv,confirmed_main_text,high,
race_industry_best_n,Section VI.A,Firms in best grade (industry),11,count,0,"Sec VI.A: ""Eleven firms""",dump/ranking_results_industry_rfe_binary_race.csv,confirmed_main_text,high,
race_industry_worst_pm,Section VI.A,Worst-grade avg posterior mean theta (industry),0.23,log_diff,0.01,"Sec VI.A: ""theta_i ... is 0.23""",dump/posteriors_groupfx1_race.csv,confirmed_main_text,high,
race_industry_best_pm,Section VI.A,Best-grade avg posterior mean theta (industry),0.03,log_diff,0.01,"Sec VI.A: ""is 0.03""",dump/posteriors_groupfx1_race.csv,confirmed_main_text,high,
race_contractors_n,Section VI,Federal contractors in sample,63,count,0,"Sec VI: ""63 of 97""",dump/federal_contractors.csv,confirmed_main_text,high,
race_contractor_meanrank,Section VI,Mean Condorcet rank federal contractors,54,other,1,"Sec VI: ""is 54""",unknown,confirmed_main_text,high,Rank 1 = most biased
race_noncontractor_meanrank,Section VI,Mean Condorcet rank non-contractors,42,other,1,"Sec VI: ""is 42""",unknown,confirmed_main_text,high,
race_sic55_pm,Section VI.A,SIC55 auto industry posterior mean penalty,22,percent,1,"Sec VI.A: ""22 percent""",dump/posteriors_industry_race.csv,confirmed_main_text,high,Greatest bias
race_sic54_pm,Section VI.A,SIC54 food stores posterior mean penalty,5,percent,1,"Sec VI.A: ""roughly 5 percent""",dump/posteriors_industry_race.csv,confirmed_main_text,high,Smallest bias
race_dr_star_2star_base,Figure 10,DR star vs two-star (baseline),11,percent,1,"Sec VI.B: ""11 percent""",unknown,confirmed_main_text,high,Computed in generate_figures.py
race_dr_star_3star_base,Figure 10,DR star vs three-star (baseline),0.8,percent,0.1,"Sec VI.B: ""only 0.8 percent""",unknown,confirmed_main_text,high,Nonadjacent
race_dr_worst_best_ind,Figure 10,DR worst vs best grade (industry),0.4,percent,0.1,"Sec VI.B: ""is 0.4 percent""",unknown,confirmed_main_text,high,
gender_sd_biascorrected,Section VII.A,Bias-corrected SD gender contact gaps,0.194,sd,0.001,"Sec VII.A: ""is 0.194""",data/theta_estimates_gender.csv,confirmed_main_text,high,~3x race
gender_sd_race_compare,Section VII.A,Race bias-corrected SD (comparison),0.069,sd,0.001,"Sec VII.A: ""for race (0.069)""",data/theta_estimates_race.csv,confirmed_main_text,high,
gender_baseline_ngrades,Section VII.E,Gender baseline grades (lambda=0.25),4,count,0,"Intro: ""four grade coding""",dump/ranking_results_log_dif_binary_gender.csv,confirmed_main_text,high,
gender_baseline_r2,Section VIII,Gender baseline grade R-squared,44,percent,1,"Sec VIII: ""44 percent""",computed:krw_r2(verify.R),confirmed_main_text,high,recomputed at render time by krw_r2() — verified PASS
gender_baseline_tau,Section VII.E,Gender baseline tau-bar (lambda=0.25),0.12,correlation,0.01,"Sec VII.E: ""versus 0.12""",tables/reporting_statistics.txt,confirmed_main_text,high,
gender_baseline_dr,Section VII.E,Gender baseline discordance rate,1.8,percent,0.1,"Intro: ""1.8 percent""",tables/reporting_statistics.txt,confirmed_main_text,high,DR=0.018
gender_industry_ngrades,Section VII.E,Gender industry grades (lambda=0.25),5,count,0,"Intro: ""five ... grades""",dump/ranking_results_industry_rfe_binary_gender.csv,confirmed_main_text,high,
gender_industry_r2,Section VIII.A,Gender industry grade R-squared,38,percent,1,"Sec VIII.A: ""38 percent""",computed:krw_r2(verify.R),confirmed_main_text,high,recomputed at render time by krw_r2() — verified PASS
gender_industry_tau,Section VII.E,Gender industry tau-bar (lambda=0.25),0.16,correlation,0.01,"Sec VII.E: ""tau=0.16""",tables/reporting_statistics.txt,confirmed_main_text,high,
gender_industry_dr,Section VII.E,Gender industry discordance rate,1,percent,0.5,"Intro: ""1 percent""",tables/reporting_statistics.txt,confirmed_main_text,high,DR=0.01
